"","date","time","open","high","low","close","volume"
"1",20230203,232500,15573,15576,15560,15560,1839
"2",20230203,233000,15560,15581,15554,15580,1959
"3",20230203,233500,15580,15592,15577,15590,1878
"4",20230203,234000,15590,15596,15581,15593,1572
"5",20230203,234500,15594,15600,15593,15596,1162
"6",20230203,235000,15596,15596,15578,15579,1487
"7",20230203,235500,15579,15583,15566,15581,1597
"8",20230204,0,15582,15590,15579,15581,915
"9",20230204,500,15581,15585,15573,15581,857
"10",20230204,1000,15582,15592,15580,15592,701
"11",20230204,1500,15592,15596,15579,15582,825
"12",20230204,2000,15582,15585,15577,15580,515
"13",20230204,2500,15582,15585,15572,15584,629
"14",20230204,3000,15585,15594,15584,15588,764
"15",20230204,3500,15588,15588,15565,15572,998
"16",20230204,4000,15571,15580,15565,15573,718
"17",20230204,4500,15573,15580,15562,15562,746
"18",20230204,5000,15562,15574,15559,15567,768
"19",20230204,5500,15567,15570,15548,15551,1051
"20",20230204,10000,15551,15554,15543,15552,1371
"21",20230204,10500,15551,15564,15550,15557,649
"22",20230204,11000,15557,15567,15554,15565,540
"23",20230204,11500,15566,15571,15563,15569,443
"24",20230204,12000,15569,15575,15565,15575,410
"25",20230204,12500,15575,15580,15575,15578,475
"26",20230204,13000,15576,15581,15573,15575,461
"27",20230204,13500,15575,15578,15571,15572,273
"28",20230204,14000,15573,15576,15569,15569,251
"29",20230204,14500,15570,15572,15558,15561,403
"30",20230204,15000,15560,15568,15556,15558,367
"31",20230204,15500,15559,15560,15535,15538,1003
"32",20230204,20000,15538,15541,15531,15533,928
"33",20230204,20500,15534,15540,15522,15523,1260
"34",20230204,21000,15523,15533,15522,15533,595
"35",20230204,21500,15534,15537,15518,15526,1168
"36",20230204,22000,15525,15536,15518,15522,597
"37",20230204,22500,15523,15526,15512,15513,712
"38",20230204,23000,15512,15517,15503,15512,1776
"39",20230204,23500,15512,15522,15508,15514,481
"40",20230204,24000,15513,15518,15501,15502,827
"41",20230204,24500,15502,15515,15490,15510,2057
"42",20230204,25000,15510,15529,15510,15525,722
"43",20230204,25500,15527,15530,15522,15524,387
"44",20230204,30000,15523,15528,15518,15521,478
"45",20230204,30500,15521,15530,15515,15522,511
"46",20230204,31000,15522,15526,15512,15525,409
"47",20230204,31500,15524,15525,15512,15517,301
"48",20230204,32000,15518,15519,15496,15499,539
"49",20230204,32500,15498,15519,15498,15517,374
"50",20230204,33000,15516,15517,15501,15507,352
"51",20230204,33500,15507,15521,15507,15520,377
"52",20230204,34000,15521,15524,15511,15512,385
"53",20230204,34500,15514,15515,15505,15509,312
"54",20230204,35000,15510,15512,15498,15509,404
"55",20230204,35500,15509,15514,15480,15488,1897
"56",20230204,40000,15487,15487,15474,15483,1338
"57",20230204,40500,15483,15499,15478,15496,531
"58",20230204,41000,15496,15503,15489,15502,396
"59",20230204,41500,15501,15520,15497,15516,709
"60",20230204,42000,15516,15517,15505,15512,291
"61",20230204,42500,15514,15520,15502,15505,347
"62",20230204,43000,15503,15514,15496,15498,370
"63",20230204,43500,15496,15507,15496,15506,271
"64",20230204,44000,15504,15511,15501,15505,254
