"","date","time","open","high","low","close","volume"
"1",20220921,84500,14475,14520,14475,14494,14987
"2",20220921,91500,14494,14505,14452,14478,14828
"3",20220921,94500,14479,14511,14458,14501,10300
"4",20220921,101500,14501,14502,14472,14492,5999
"5",20220921,104500,14492,14502,14465,14471,5087
"6",20220921,111500,14470,14484,14457,14471,4302
"7",20220921,114500,14470,14485,14447,14451,5232
"8",20220921,121500,14451,14455,14420,14436,7412
"9",20220921,124500,14436,14439,14390,14398,8788
"10",20220921,131500,14399,14405,14395,14401,4782
"11",20220921,150000,14389,14390,14338,14373,13152
"12",20220921,153000,14372,14379,14362,14366,4002
"13",20220921,160000,14366,14384,14356,14374,4145
"14",20220921,163000,14374,14385,14371,14378,2079
"15",20220921,170000,14377,14396,14370,14390,3164
"16",20220921,173000,14389,14416,14389,14410,5208
"17",20220921,180000,14410,14415,14394,14404,3104
"18",20220921,183000,14404,14405,14377,14395,3959
"19",20220921,190000,14396,14399,14387,14392,1420
"20",20220921,193000,14391,14409,14389,14399,2541
"21",20220921,2e+05,14398,14404,14388,14403,1736
"22",20220921,203000,14403,14425,14402,14409,5133
"23",20220921,210000,14409,14421,14406,14412,2768
"24",20220921,213000,14411,14438,14390,14425,12712
"25",20220921,220000,14425,14448,14410,14446,8824
"26",20220921,223000,14447,14450,14414,14419,6227
"27",20220921,230000,14420,14427,14408,14425,4393
"28",20220921,233000,14424,14440,14424,14429,3569
"29",20220922,0,14429,14458,14424,14450,4346
"30",20220922,3000,14450,14454,14427,14427,2872
"31",20220922,10000,14428,14433,14415,14430,2614
"32",20220922,13000,14429,14453,14429,14452,2816
"33",20220922,20000,14447,14454,14306,14378,32500
"34",20220922,23000,14378,14545,14358,14518,30925
"35",20220922,30000,14518,14538,14397,14399,16614
"36",20220922,33000,14397,14397,14308,14309,15612
"37",20220922,40000,14309,14309,14253,14257,8746
"38",20220922,43000,14256,14268,14248,14259,3735
"39",20220922,84500,14225,14243,14111,14114,40747
"40",20220922,91500,14113,14143,14088,14140,31153
"41",20220922,94500,14140,14164,14125,14143,19168
"42",20220922,101500,14143,14200,14141,14197,18223
"43",20220922,104500,14198,14245,14185,14197,22406
"44",20220922,111500,14197,14215,14189,14209,7590
"45",20220922,114500,14210,14221,14200,14200,5744
"46",20220922,121500,14200,14250,14190,14208,13497
"47",20220922,124500,14208,14216,14196,14204,6595
"48",20220922,131500,14203,14244,14202,14241,12571
"49",20220922,150000,14229,14254,14209,14245,7486
"50",20220922,153000,14245,14291,14241,14282,8393
"51",20220922,160000,14281,14307,14278,14298,8664
"52",20220922,163000,14298,14324,14292,14299,7780
"53",20220922,170000,14300,14302,14272,14280,6191
"54",20220922,173000,14280,14289,14258,14271,4992
"55",20220922,180000,14271,14281,14257,14280,2972
"56",20220922,183000,14281,14283,14269,14279,2517
"57",20220922,190000,14278,14283,14233,14234,6541
"58",20220922,193000,14234,14273,14234,14266,4478
"59",20220922,2e+05,14266,14284,14259,14268,3856
"60",20220922,203000,14267,14285,14253,14271,4855
"61",20220922,210000,14272,14275,14244,14252,4141
"62",20220922,213000,14253,14265,14211,14224,16309
"63",20220922,220000,14223,14259,14204,14250,14609
"64",20220922,223000,14250,14255,14202,14204,8969
"65",20220922,230000,14204,14223,14185,14208,10749
"66",20220922,233000,14209,14232,14205,14211,6510
"67",20220923,0,14211,14239,14201,14222,4727
"68",20220923,3000,14222,14243,14210,14230,3851
"69",20220923,10000,14229,14233,14208,14225,2301
"70",20220923,13000,14224,14241,14222,14233,2153
"71",20220923,20000,14232,14236,14194,14204,2386
"72",20220923,23000,14204,14233,14198,14223,1901
"73",20220923,30000,14226,14254,14222,14238,3172
"74",20220923,33000,14239,14273,14207,14208,4604
"75",20220923,40000,14208,14219,14197,14219,2800
"76",20220923,43000,14218,14220,14206,14206,909
"77",20220923,84500,14220,14224,14185,14221,23760
"78",20220923,91500,14221,14229,14166,14178,23266
"79",20220923,94500,14178,14215,14162,14163,18456
"80",20220923,101500,14164,14164,14125,14153,19915
"81",20220923,104500,14153,14165,14135,14135,8693
"82",20220923,111500,14136,14146,14091,14097,13742
"83",20220923,114500,14097,14114,14056,14070,15764
"84",20220923,121500,14070,14139,14061,14137,15676
"85",20220923,124500,14136,14141,14105,14122,10014
"86",20220923,131500,14123,14136,14111,14116,11449
"87",20220923,150000,14106,14134,14089,14129,7051
"88",20220923,153000,14129,14130,14105,14119,3109
"89",20220923,160000,14119,14125,14090,14096,3875
"90",20220923,163000,14096,14108,14072,14072,4159
"91",20220923,170000,14072,14079,14062,14063,4182
"92",20220923,173000,14065,14069,14032,14065,7129
"93",20220923,180000,14065,14065,14029,14033,4042
"94",20220923,183000,14033,14033,14005,14008,6165
"95",20220923,190000,14007,14022,13997,14022,5781
"96",20220923,193000,14021,14025,14003,14021,3567
"97",20220923,2e+05,14022,14034,14019,14027,3388
"98",20220923,203000,14026,14028,13994,14014,4673
"99",20220923,210000,14014,14054,14011,14040,7750
"100",20220923,213000,14041,14052,13982,13982,14403
"101",20220923,220000,13983,14026,13970,14026,13258
"102",20220923,223000,14026,14026,13996,14004,7227
"103",20220923,230000,14005,14030,13999,14007,6388
"104",20220923,233000,14007,14018,13975,13993,7754
"105",20220924,0,13992,14002,13942,13944,9008
"106",20220924,3000,13943,13982,13937,13977,8063
"107",20220924,10000,13977,13994,13954,13955,5413
"108",20220924,13000,13956,13969,13945,13965,3206
"109",20220924,20000,13964,13973,13930,13943,5480
"110",20220924,23000,13941,13945,13911,13918,4450
"111",20220924,30000,13917,13965,13916,13953,4768
"112",20220924,33000,13953,13992,13949,13972,5318
"113",20220924,40000,13971,13992,13968,13981,2451
"114",20220924,43000,13981,14009,13981,13986,3920
"115",20220926,84500,13921,13953,13869,13878,38650
"116",20220926,91500,13877,13889,13825,13844,33124
"117",20220926,94500,13844,13886,13801,13843,31058
"118",20220926,101500,13844,13891,13835,13861,16354
"119",20220926,104500,13860,13871,13810,13811,12287
"120",20220926,111500,13810,13839,13782,13787,13498
"121",20220926,114500,13786,13819,13785,13805,8420
"122",20220926,121500,13805,13818,13771,13773,9886
"123",20220926,124500,13773,13787,13740,13761,12977
"124",20220926,131500,13762,13815,13754,13760,22388
"125",20220926,150000,13760,13872,13759,13847,16529
"126",20220926,153000,13848,13860,13809,13809,7477
"127",20220926,160000,13810,13846,13805,13841,5716
"128",20220926,163000,13842,13845,13822,13834,3034
"129",20220926,170000,13835,13842,13814,13817,2604
"130",20220926,173000,13817,13819,13787,13801,5081
"131",20220926,180000,13802,13818,13781,13817,3824
"132",20220926,183000,13817,13818,13798,13799,2444
"133",20220926,190000,13800,13805,13782,13800,2883
"134",20220926,193000,13799,13817,13797,13812,2565
"135",20220926,2e+05,13812,13832,13796,13827,3496
"136",20220926,203000,13826,13851,13810,13842,5487
"137",20220926,210000,13843,13843,13822,13824,3362
"138",20220926,213000,13825,13863,13819,13859,12438
"139",20220926,220000,13857,13882,13834,13873,13923
"140",20220926,223000,13872,13876,13840,13853,7561
"141",20220926,230000,13854,13862,13807,13809,8503
"142",20220926,233000,13810,13843,13800,13838,7123
"143",20220927,0,13838,13839,13787,13800,5234
"144",20220927,3000,13799,13828,13786,13820,4297
"145",20220927,10000,13820,13823,13775,13786,4213
"146",20220927,13000,13786,13804,13773,13775,3163
"147",20220927,20000,13775,13816,13771,13780,3065
"148",20220927,23000,13779,13819,13771,13810,2540
"149",20220927,30000,13810,13827,13804,13811,1711
"150",20220927,33000,13809,13844,13794,13797,3086
"151",20220927,40000,13797,13804,13784,13802,1554
"152",20220927,43000,13800,13814,13793,13808,1511
"153",20220927,84500,13848,13861,13804,13809,28338
"154",20220927,91500,13808,13822,13762,13765,29645
"155",20220927,94500,13765,13793,13734,13753,26165
"156",20220927,101500,13752,13839,13736,13806,25728
"157",20220927,104500,13807,13845,13797,13803,12390
"158",20220927,111500,13803,13812,13771,13800,10753
"159",20220927,114500,13800,13801,13773,13776,6222
"160",20220927,121500,13776,13814,13776,13806,6978
"161",20220927,124500,13806,13833,13800,13819,8639
"162",20220927,131500,13819,13823,13799,13816,9637
"163",20220927,150000,13850,13887,13845,13887,12889
"164",20220927,153000,13887,13888,13868,13868,4313
"165",20220927,160000,13868,13872,13856,13866,3275
"166",20220927,163000,13866,13867,13837,13842,4317
"167",20220927,170000,13842,13847,13829,13836,3321
"168",20220927,173000,13836,13850,13834,13835,2086
"169",20220927,180000,13835,13861,13832,13859,3198
"170",20220927,183000,13860,13874,13854,13860,3685
"171",20220927,190000,13860,13873,13857,13867,2325
"172",20220927,193000,13869,13880,13866,13869,2782
"173",20220927,2e+05,13870,13882,13866,13870,2784
"174",20220927,203000,13869,13885,13860,13861,3914
"175",20220927,210000,13860,13872,13851,13861,3779
"176",20220927,213000,13863,13910,13861,13868,16320
"177",20220927,220000,13870,13872,13836,13844,12189
"178",20220927,223000,13844,13883,13844,13876,7244
"179",20220927,230000,13876,13882,13820,13826,9025
"180",20220927,233000,13826,13842,13803,13804,9047
"181",20220928,0,13804,13805,13742,13769,14524
"182",20220928,3000,13768,13786,13752,13778,6763
"183",20220928,10000,13777,13777,13751,13762,3910
"184",20220928,13000,13762,13772,13744,13759,3002
"185",20220928,20000,13758,13771,13746,13760,2085
"186",20220928,23000,13760,13807,13751,13794,4179
"187",20220928,30000,13794,13794,13768,13773,2486
"188",20220928,33000,13773,13799,13755,13786,2543
